first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Josh,Okogie,SF,,,2024-01-03,,PHO,LAC,+4,232,114,4400,14,1.3,9.2,19.0,9.5,2.16
Isaiah,Livers,SF,PF,,2024-01-03,,DET,UTA,+8.5,240,115.8,3300,2,0.0,5.5,14.8,9.0,2.73
John,Konchar,SG,SF,,2024-01-03,,MEM,TOR,-1,227.5,114.3,3200,26,0.0,14.0,29.3,9.0,2.81
Amir,Coffey,SF,PF,,2024-01-03,,LAC,PHO,-4,232,118,3400,24,5.5,11.9,22.0,9.0,2.65
Craig,Porter Jr.,PG,,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,5000,30,1.3,26.7,42.8,8.6,1.72
Vasilije,Micic,PG,,,2024-01-03,,OKC,ATL,-1,248,124.5,3000,27,1.5,9.5,13.8,8.6,2.87
Ziaire,Williams,SF,PF,,2024-01-03,,MEM,TOR,-1,227.5,114.3,3300,29,0.0,5.5,15.0,8.4,2.55
Marjon,Beauchamp,SG,SF,,2024-01-03,,MIL,IND,-3.5,257,130.3,3300,29,1.3,8.6,23.3,8.2,2.48
Jaylin,Williams,C,,,2024-01-03,,OKC,ATL,-1,248,124.5,3600,27,2.5,10.1,20.0,8.0,2.22
Jeff,Green,PF,C,,2024-01-03,,HOU,BKN,-5,220.5,112.8,4000,14,1.5,8.7,19.0,7.7,1.93
Keita,Bates-Diop,SF,PF,,2024-01-03,,PHO,LAC,+4,232,114,3000,14,-0.5,7.8,13.5,7.5,2.50
Armoni,Brooks,PG,,,2024-01-03,,BKN,HOU,+5,220.5,107.8,3100,1,1.3,9.8,23.0,7.0,2.26
Nassir,Little,SF,PF,,2024-01-03,,PHO,LAC,+4,232,114,3400,14,0.0,8.8,15.3,6.5,1.91
Terry,Taylor,C,,,2024-01-03,,CHI,NY,+9,220.5,105.8,3900,1,-0.5,7.3,17.0,6.5,1.67
Mike,Muscala,C,,,2024-01-03,,WAS,CLE,+9.5,239.5,115,4200,10,7.0,14.3,24.8,6.3,1.50
Xavier,Tillman,C,,,2024-01-03,,MEM,TOR,-1,227.5,114.3,4100,26,0.0,11.7,24.0,6.3,1.52
Ibou,Badji,C,,,2024-01-03,,POR,DAL,+11.5,238.5,113.5,3800,8,,,,6.0,1.58
Mason,Plumlee,C,,,2024-01-03,,LAC,PHO,-4,232,118,4200,4,7.5,13.8,22.8,6.0,1.43
Garrison,Mathews,SG,SF,,2024-01-03,,ATL,OKC,+1,248,123.5,3300,19,2.8,5.7,8.3,5.9,1.79
Jordan,McLaughlin,PG,,,2024-01-03,,MIN,NO,-6.5,222.5,114.5,3300,5,1.5,8.3,19.3,4.8,1.45
T.J.,McConnell,PG,,,2024-01-03,,IND,MIL,+3.5,257,126.8,4000,29,3.5,16.6,36.5,4.5,1.13
Skylar,Mays,PG,,,2024-01-03,,POR,DAL,+11.5,238.5,113.5,3900,7,0.0,8.6,19.0,4.0,1.03
Taj,Gibson,C,,,2024-01-03,,NY,CHI,-9,220.5,114.8,3000,13,0.0,7.1,14.3,3.5,1.17
Marcus,Sasser,PG,SG,,2024-01-03,,DET,UTA,+8.5,240,115.8,3100,24,0.0,7.5,13.0,3.3,1.05
Drew,Eubanks,C,,,2024-01-03,,PHO,LAC,+4,232,114,4000,9,2.3,12.6,21.5,3.3,0.81
Kobe,Brown,PF,,,2024-01-03,,LAC,PHO,-4,232,118,3100,6,-0.5,8.1,17.5,3.3,1.05
Seth,Curry,SG,,,2024-01-03,,DAL,POR,-11.5,238.5,125,3900,22,0.0,11.3,32.0,3.3,0.85
